Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Tepelné čerpadlo,Kola,Náhon 4x4,Extra,Zdroj,Stav,Odkaz na auto
VW ID.4 Pro,597000,91586,150,Ano,ALU 19'',Ne,,Autodraft.cz,Prodané,https://www.autodraft.cz/detail/15853-volkswagen-id-4-pro-150kw-alu-19.html
Audi e-tron Advanced quattro 50 4x4,728000,64807,230,Ne,ALU 21''+ ALU 19'',Ne,,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15878-audi-e-tron-advanced-quattro-50-4x4-230kw-alu-21-alu-19.html
VW ID.4 Pro,651000,69486,150,Ano,ALU 19'',Ne,Tažné,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15888-volkswagen-id-4-pro-150kw-tazne-alu-19.html
Škoda Enyaq iV 60 Sportline,792000,53554,132,Ne,2x ALU 19'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15875-skoda-enyaq-iv-60-sportline-132kw-2x-alu-19.html
VW ID.4 Pro,606000,64230,150,Ne,ALU 19'',Ne,,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15633-volkswagen-id-4-pro-150kw-alu-19.html
VW ID.5 Pro,640000,102414,150,Ne,2x sada ALU 19'',Ne,Tažné,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15824-volkswagen-id-5-pro-150kw-tazne-2x-sada-alu-19.html
VW ID.4 Pro,653000,75397,150,Ne,ALU 19'',Ne,IQ.Lights / Tažné,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15887-volkswagen-id-4-pro-150kw-iq-lights-tazne-alu-19.html
VW ID.3 Pro,533000,50246,150,Ne,2x sada ALU 18'',Ne,IQ.Light,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15697-volkswagen-id-3-pro-150kw-iq-light-2x-sada-alu-18.html
Škoda Enyaq iV 80,759000,68324,150,Ano,2x sada ALU 19'',Ne,Tažné,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15864-skoda-enyaq-iv-80-150kw-tazne-2x-sada-alu-19.html
VW ID.4 Pro,648000,92373,150,Ne,ALU 19'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15857-volkswagen-id-4-pro-150kw-alu-19.html
Škoda Enyaq iV 60,607000,31819,132,Ne,ALU 19'',Ne,,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15840-skoda-enyaq-iv-60-132kw-alu-19.html
VW ID.4 Pure,492000,46408,109,Ne,,Ne,,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15744-volkswagen-id-4-pure-109kw.html
VW ID.4 Pro,497000,136291,150,Ne,ALU 19'' + zimní sada,Ne,,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15822-volkswagen-id-4-pro-150kw-alu-19-zimni-sada.html
Škoda Enyaq iV 80,657000,79631,150,Ne,ALU 19'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15820-skoda-enyaq-iv-80-150kw-alu-19.html
Cupra Born electric,623000,14500,150,Ne,ALU 18'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15811-cupra-born-electric-150kw-alu-18.html
VW ID.3 Pro,487000,77424,150,Ano,ALU 18'',Ne,IQ.Light,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15783-volkswagen-id-3-pro-150kw-iq-light-alu-18.html
Audi Q4 e-tron 50 quattro,844000,27894,220,Ne,ALU 19'',Ano,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15756-audi-q4-e-tron-50-quattro-220kw-4x4-alu-19.html
VW ID.3 Pro S,493000,86133,150,Ne,2x sada ALU 19'',Ne,,Autodraft.cz,Zamluvené,https://www.autodraft.cz/detail/15649-volkswagen-id-3-pro-s-150kw-2x-sada-alu-19.html
VW ID.4 Pro,623000,42188,150,Ne,ALU 19'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15679-volkswagen-id-4-pro-150kw-alu-19.html
VW ID.3 Pro Electric,573000,19175,150,Ne,ALU 19'',Ne,IQ.Light,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15632-volkswagen-id-3-pro-electric-150kw-iq-light-alu-19.html
VW ID.7 Tourer GTX 4Motion,1387000,7434,250,Ano,ALU 21''+ ALU 19'',Ano,Tovární záruka do 03/2030,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15509-volkswagen-id-7-tourer-gtx-4motion-250kw-4x4-alu-21-alu-19-tovarni-zaruka-do-032030.html
VW ID.4 Pure Performance electric,518000,30065,125,Ne,Sada 19''+ 18'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15209-volkswagen-id-4-pure-performance-electric-125kw-sada-19-18.html
Škoda Enyaq 50,631000,16337,109,Ne,ALU 18'',Ne,,Autodraft.cz,Dostupný,https://www.autodraft.cz/detail/15073-skoda-enyaq-50-109kw-alu-18.html
