Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Rok výroby,Palivo,Převodovka,Kola,Náhon 4x4,Extra,Objem motoru,Typ motoru,Hybrid typ,Karoserie,Výbava,Záruka,Stav,Zdroj,Odkaz na auto
Škoda Karoq Sportline 2.0 TSI,736000,38174,140,2024,Benzín,Automat,ALU 18''+ zimní sada,Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15958-skoda-karoq-sportline-2-0-tsi-140kw-4x4-dsg-alu-18-zimni-sada.html
VW Tiguan Allspace Elegance 4Motion 2.0 TSI,899000,25359,140,2024,Benzín,Automat,ALU 18'',Ne,4x4 DSG,,,,Allspace,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15994-volkswagen-tiguan-allspace-elegance-4motion-2-0-tsi-140kw-4x4-dsg-alu-18.html
VW Touran Highline 1.5 TSI,589000,62378,110,2021,Benzín,,ALU 17''+ zimní sada,Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15944-volkswagen-touran-highline-1-5-tsi-110kw-alu-17-zimni-sada.html
Škoda Fabia Selection 1.0 MPI,398000,13112,59,2024,Benzín,,,Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15957-skoda-fabia-selection-1-0-mpi-59kw.html
Škoda Octavia 4 Sedan Selection 1.5 TSI e-TEC,641000,29632,110,2025,Benzín,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15955-skoda-octavia-4-sedan-selection-1-5-tsi-e-tec-110kw-dsg-alu-17-zimni-sada.html
Škoda Octavia 4 Sedan Selection 1.5 TSI e-TEC,598000,44314,110,2025,Benzín,Automat,ALU 16'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15953-skoda-octavia-4-sedan-selection-1-5-tsi-e-tec-110kw-dsg-alu-16.html
Škoda Octavia 4 Sedan Selection 1.5 TSI e-TEC,596000,36870,110,2025,Benzín,Automat,ALU 16'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15959-skoda-octavia-4-sedan-selection-1-5-tsi-e-tec-110kw-dsg-alu-16.html
Škoda Octavia 4 Combi 1.5 TSI e-TEC,596000,71258,110,2022,Benzín,Automat,ALU 18''+ zimní pneu,Ne,DSG,,,,Combi,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15362-skoda-octavia-4-combi-1-5-tsi-e-tec-110kw-dsg-sportline-alu-18-zimni-pneu.html
Audi A6 Avant sport 2.0 45 eTFSI,722000,89954,195,2022,Benzín,Automat,ALU 18''+ ALU 17'',Ne,S-tronic,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15885-audi-a6-avant-sport-2-0-45-etfsi-195kw-s-tronic-alu-18-alu-17.html
VW Golf 8 Variant Style 2.0 TSI,452000,148276,140,2023,Benzín,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15187-volkswagen-golf-8-variant-style-2-0-tsi-140kw-dsg-alu-17-zimni-sada.html
VW Taigo 1.5 TSI,542000,92341,110,2023,Benzín,Automat,ALU 18''+ ALU 17'',Ne,DSG,,,,,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15226-volkswagen-taigo-1-5-tsi-110kw-dsg-r-line-alu-18-alu-17.html
Škoda Octavia 4 Combi 1.5 TSI,464000,19277,110,2021,Benzín,,ALU 16'',Ne,,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15246-skoda-octavia-4-combi-1-5-tsi-110kw-alu-16.html
Škoda Kodiaq Style 2.0 TDI,750000,76980,110,2022,Benzín,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG Facelift Webasto,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15891-skoda-kodiaq-style-2-0-tdi-110kw-4x4-dsg-facelift-webasto-alu-18-alu-17.html
Škoda Fabia 1.0 MPI,330000,73202,59,2024,Benzín,,ALU 15'',Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15923-skoda-fabia-1-0-mpi-59kw-alu-15.html
