Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
Abarth T5 EVO EV 1.5,607757,34650,2024,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,,Ojeté,Sauto.cz,Ne,
Abarth T5 EVO EV 1.5,646468,32000,2024,Benzín,1.5,,,130,Automatická,,,,Ne,Kombi,,,,Ojeté,Sauto.cz,Ne,
Alfa Romeo Giulia 2.2 JTDM (Diesel),615000,94200,2021,Nafta,2.1,,,118,Automatická,,,,Ne,Sedan/limuzína,,,SUPER 22 DIESEL,Ojeté,Sauto.cz,Ano,
Alfa Romeo Junior 1.2,746000,5,2026,Benzín,1.2,,,100,Automatická,,,,Ne,Hatchback,,,T 136k Speciale,Nové,Sauto.cz,Ne,
Alfa Romeo Junior 1.2 Turbo,723000,5,2026,Benzín,1.2,Turbo,HEV,107,Automatická,,,,Ne,Hatchback,,,Ibrida Hybrid 145k e,Nové,Sauto.cz,Ne,
"Alfa Romeo Stelvio 2.2 JTDM (SUV, Diesel)",596000,91000,2021,Nafta,2.1,,,140,Automatická,,,,Ano,SUV,,,JTD Q4 FACELIFT 2021-DPH,Ojeté,Sauto.cz,Ano,
"Alfa Romeo Stelvio 2.2 JTDM (SUV, Diesel)",668000,95000,2022,Nafta,2.1,,,140,Automatická,,,,Ano,SUV,,,JTD SPRINT AT8 Q4 2021,Ojeté,Sauto.cz,Ano,
"Alfa Romeo Stelvio 2.0 GME (SUV, Benzín)",649990,32000,2023,Benzín,2.0,,,148,Automatická,,,,Ano,SUV,,,T Q4 MAT - NAVI,Ojeté,Sauto.cz,Ano,
"Alfa Romeo Stelvio 2.2 JTDM (SUV, Diesel)",614999,54723,2021,Nafta,2.1,,,140,Automatická,,,,Ne,SUV,,,JTDM,Ojeté,Sauto.cz,Ano,
"Alfa Romeo Stelvio 2.0 GME (SUV, Benzín)",749999,29228,2023,Benzín,2.0,,,206,Automatická,,,,Ano,SUV,,,Ti,Ojeté,Sauto.cz,Ano,
