PK,Značka,Model,Objem motoru,Typ motoru,Karoserie,nameplate_bodies
Citroën C5 X 1.2 PureTech,Citroën,C5,1.2,PureTech,Liftback,Liftback|SUV
Citroën C5 X Plug-In Hybrid,Citroën,C5,1.6,,Liftback,Liftback|SUV
Kia K4 2.0 MPI,Kia,K4,2.0,,Sedan,Kombi|Sedan
Mazda 6 Wagon 2.5 Skyactiv-G,Mazda,6,2.5,SKYACTIV-G,Kombi,Kombi|Sedan
Opel Insignia Grand Sport 2.0 CDTI,Opel,Insignia,2.0,CDTi,Liftback,Kombi|Liftback
Renault Arkana 1.3 TCe MHEV,Renault,Arkana,1.3,TCe,SUV,Kupé|SUV
Škoda Scala 1.0 TSI,Škoda,Scala,1.0,TSI,Hatchback,Hatchback|Kombi
VW Golf 8 eHybrid,VW,Golf,1.4,,Hatchback,Hatchback|Kombi
Audi A6 2.0 TDI,Audi,A6,2.0,TDI,Sedan,Kombi|Sedan
Audi A6 2.0 TFSI,Audi,A6,2.0,TFSI,Sedan,Kombi|Sedan
Audi A6 3.0 TDI,Audi,A6,3.0,TDI,Sedan,Kombi|Sedan
BMW 3 2.0,BMW,3,2.0,,Sedan,Kombi|Sedan
BMW 5 2.0,BMW,5,2.0,,Sedan,Kombi|Sedan
Dacia Jogger 1.6,Dacia,Jogger,1.6,,MPV,Kombi|MPV
Ford Tourneo Custom 2.0 EcoBlue,Ford,Tourneo Custom,2.0,EcoBlue,MPV,Kombi|MPV
Genesis G70 2.2,Genesis,G70,2.2,,Sedan,Kombi|Sedan
Kia Sorento 2.2 CRDi,Kia,Sorento,2.2,CRDi,SUV,Kupé|SUV
Kia Sorento 2.5,Kia,Sorento,2.5,,SUV,Kupé|SUV
Mercedes-Benz C 220d,Mercedes-Benz,C,2,,Sedan,Kombi|Sedan
Mercedes-Benz C 300d,Mercedes-Benz,C,2,,Sedan,Kombi|Sedan
Opel Vivaro 2.0 CDTi,Opel,Vivaro,2.0,CDTi,MPV,Kombi|MPV
Subaru Impreza 2.0,Subaru,Impreza,2.0,,Hatchback,Hatchback|Kombi
Cupra Leon 2.0 TDI,Cupra,Leon,2.0,TDI,Hatchback,Hatchback|Kombi
Audi A3 2.0 TDI,Audi,A3,2.0,TDI,Liftback,Liftback|Sedan
Ford Focus 2.0 EcoBlue,Ford,Focus,2.0,EcoBlue,Kombi,Hatchback|Kombi
Seat Leon 2.0 TDI,Seat,Leon,2.0,TDI,Kombi,Hatchback|Kombi
Mercedes-Benz C 1.5,Mercedes-Benz,C,1.5,,Kombi,Kombi|Sedan
Mercedes-Benz CLA 1.9,Mercedes-Benz,CLA,1.9,,Sedan,Kombi|Sedan
Kia K4 1.6 T-GDI,Kia,K4,1.6,T-GDI,Kombi,Kombi|Sedan
BMW 3 3.0,BMW,3,3.0,,Kombi,Kombi|Sedan
