Model auta,rb,lb,ref_knows,Odkaz na auto
Audi A3 2.0 TDI,Liftback,Sedan,True,https://www.sauto.cz/osobni/detail/audi/a3/210744020
Audi A3 2.0 TDI,Liftback,Sedan,True,https://suchen.mobile.de/auto-inserat/audi-a3-limousine-35-tdi-led-navi-ahk-acc-v%C3%B6hringen/458551786.html
Audi A3 2.0 TDI,Liftback,Sedan,True,https://suchen.mobile.de/auto-inserat/audi-a3-limousine-advanced-35tdi-s-tronic-navi-led-kitzingen/459567547.html
Audi A3 2.0 TDI,Liftback,Sedan,True,https://suchen.mobile.de/auto-inserat/audi-a3-sportback-2-0-tdi-navi-led-acc-connect-wasserburg-a-inn/454576116.html
Audi A3 2.0 TDI,Liftback,Sedan,True,https://suchen.mobile.de/auto-inserat/audi-a3-sportback-35-tdi-s-tronic-advanced-pano-virtu-m%C3%BCnchen/453848572.html
Audi A3 2.0 TDI,Liftback,Sedan,True,https://suchen.mobile.de/auto-inserat/audi-a3-sportback-35-tdi-virtual-matrix-kamera-b-o-ditzingen/459483076.html
Audi A3 2.0 TDI,Liftback,Sedan,True,https://suchen.mobile.de/auto-inserat/audi-a3-sportback-40-tdi-q-2x-s-line-led-navi-lm18-as-bochum/452433084.html
BMW 320 Kombi 2.0 HEV,Kombi,Sedan,True,https://suchen.mobile.de/auto-inserat/bmw-320-hybrid-m-sportpaket-m-sportsitze-carbon-m%C3%BCnchen/452937543.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://www.sauto.cz/osobni/detail/cupra/leon/210379604
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://www.sauto.cz/osobni/detail/cupra/leon/210581846
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://www.sauto.cz/osobni/detail/cupra/leon/210684245
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://www.sauto.cz/osobni/detail/cupra/leon/210717572
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-cupra-leon-st-2-0-tdi-navi-vision-plus-virtual-l-kassel/458152506.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-dsg-led-navi-shz-kamera-acc-virtual-feldkirchen-westerham/448393880.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-dsg-navi-keygo-led-wirelesscharging-dresden/459590640.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-dsg-st-edge-pa-xl-acc-18-ahk-allw-soltau/450477195.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-dsg-st-edge-pa-xl-acc-18-ahk-allw-soltau/450670966.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-dsg-st-led-navi-kamera-kessy-acc-bernburg/447061086.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-dsg-st-led-navi-kamera-kessy-acc-bernburg/447061088.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0-tdi-led-navi-full-link-parklenk-acc-rfk-haar/434965220.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0l-tdi-sportstourer-led-acc-rear-ahk-nav-haldensleben/441416551.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0tdi-110-kw-150-ps-automatik-acc-raesfeld/458941097.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0tdi-dsg-sp-lane-acc-kam-pdc-led-ellerhoop-bei-hamburg/448974966.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0tdi-dsg-virtual-navi-shz-kamera-led-bebra/452531510.html
Cupra Leon 2.0 TDI,Hatchback,Kombi,True,https://suchen.mobile.de/auto-inserat/cupra-leon-2-0tdi-dsg-virtual-navi-shz-led-acc-bebra/455622800.html
