Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Tepelné čerpadlo,Kola,Náhon 4x4,Extra,Zdroj,Stav,Odkaz na auto
JAC iEV7S,359900,53669,85,Ne,,Ne,"Dojezd 300 km / Baterie 43,50 kWh / Rok 2020",EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/jac-iev7s/
VW Crafter,399900,88331,100,Ne,,Ne,Dojezd 173 km / Rok 2021,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-crafter/
BMW i3,399900,55416,125,Ano,"19""",Ne,Dojezd 250 km / Baterie 32 kWh / Rok 2017,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/bmw-i3-2/
Tesla Model 3,449900,134099,239,Ne,"18""",Ne,Dojezd 409 km / Rok 2020,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/tesla-model-3-2/
Honda e,449900,27026,113,Ne,"17""",Ne,Dojezd 222 km / Rok 2021,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/honda-e/
VW ID.3,459900,82643,150,Ne,"19""",Ne,Dojezd 424 km / Baterie 62 kWh / Rok 2020,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-id-3-2/
Citroën Berlingo,499900,31260,100,Ne,"16""",Ne,Dojezd 285 km / Rok 2022,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/citroen-berlingo/
VW ID.3 Pro Performance,529900,37306,150,Ano,"18""",Ne,Dojezd 427 km / Rok 2021,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-id-3-pro-performance/
Tesla Model 3,539000,139009,324,Ne,"19""",Ano,Dojezd 560 km / Rok 2020,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/tesla-model-3/
BMW i3,559000,62923,135,Ano,"20""",Ne,Dojezd 359 km / Baterie 42 kWh / Rok 2019,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/bmw-i3/
VW ID.3,569900,28983,107,Ne,"19""",Ne,Dojezd 427 km / Rok 2022,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-id-3-3/
VW ID.3,569900,53317,150,Ne,"18""",Ne,Dojezd 427 km / Rok 2022,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-id-3-5/
VW ID.3,569900,81002,107,Ne,"18""",Ne,Dojezd 427 km / Baterie 62 kWh / Rok 2022,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-id-3-4/
VW ID.3,579900,15846,150,Ne,"20""",Ne,Dojezd 426 km / Baterie 62 kWh / Rok 2021,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volkswagen-id-3-6/
Cupra Born,599900,26500,150,Ano,"18""",Ne,Dojezd 427 km / Baterie 62 kWh / Rok 2022,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/cupra-born/
Škoda Octavia,599900,72316,110,Ne,"18""",Ne,Dojezd 68 km / Baterie 13 kWh / Rok 2020,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/skoda-octavia/
Kia Niro,649900,93621,150,Ne,"17""",Ne,Dojezd 463 km / Baterie 64 kWh / Rok 2023,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/kia-niro/
Tesla Model X,679900,142875,306,Ne,"20""",Ano,Dojezd 489 km / Baterie 90 kWh / Rok 2017,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/tesla-model-x/
Volvo XC40,684990,52414,170,Ne,"19""",Ne,Dojezd 425 km / Baterie 63 kWh / Rok 2022,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/volvo-xc40/
Audi Q4 e-tron,719900,80622,150,Ne,"20""",Ne,Dojezd 523 km / Rok 2021,EnergyCars.cz,Dostupný,https://www.energycars.cz/vuz/audi-q4-e-tron-2/
