Jednoznačná varianta vozu,Značka,Model,Verze,Generace,Karoserie,Počet míst,Objem motoru,Typ motoru,Palivo,Hybrid typ,Spotřeba (l/100 km),Objem kufru (l),Hlučnost (dB),Cd,Cd zdroj,Přidáno,Upraveno
DFSK Fengon 5 1.5 CVT,DFSK,Fengon,,,MPV,,1.5,,Benzín,,"9,0",385,71,0.33,odhad,2026-06-28,2026-07-11
Alfa Romeo Giulia 2.0 GME,Alfa Romeo,Giulia,,,Sedan,,2.0,,Benzín,,"7,4",480,69,0.28,reálné,2026-06-28,2026-07-11
Alfa Romeo Giulia 2.2 JTDM,Alfa Romeo,Giulia,,,Sedan,,2.2,,Nafta,,"5,3",480,70,0.28,reálné,2026-06-28,2026-07-11
Alfa Romeo Stelvio 2.0 GME,Alfa Romeo,Stelvio,,,SUV,,2.0,,Benzín,,"8,9",525,71,0.32,reálné,2026-06-28,2026-07-11
Alfa Romeo Stelvio 2.2 JTDM,Alfa Romeo,Stelvio,,,SUV,,2.2,,Nafta,,"6,1",525,71,0.32,reálné,2026-06-28,2026-07-11
Audi A3 Hatchback 35 TFSI,Audi,A3,,,Hatchback,,1.5,TFSI,Benzín,,"5,2",380,68,0.3,reálné,2026-05-24,2026-07-11
Audi A3 Hatchback 40 TFSI e,Audi,A3,,,Hatchback,,1.4,TFSI,Benzín,PHEV,"1,4",280,67,0.3,reálné,2026-06-28,2026-07-11
Audi A3 Sedan 35 TFSI,Audi,A3,,,Sedan,,1.5,TFSI,Benzín,,"5,0",425,68,0.25,reálné,2026-05-24,2026-07-11
Audi A4 Sedan 35 TFSI,Audi,A4,,,Sedan,,2,TFSI,Benzín,,"5,8",460,68,0.26,reálné,2026-05-24,2026-07-11
Audi A4 Avant 35 TFSI,Audi,A4,,,Kombi,,2,TFSI,Benzín,,"6,3",495,69,0.28,reálné,2026-06-28,2026-07-11
Audi Q2 35 TFSI,Audi,Q2,,,SUV,,1.5,TFSI,Benzín,,"5,8",405,69,0.31,reálné,2026-06-28,2026-07-11
Audi Q2 40 TFSI Quattro,Audi,Q2,,,SUV,,2,TFSI,Benzín,,"7,2",355,70,0.32,reálné,2026-06-28,2026-07-11
Audi Q3 35 TFSI,Audi,Q3,,,SUV,,1.5,TFSI,Benzín,,"6,5",530,69,0.32,reálné,2026-06-28,2026-07-11
Audi Q3 Sportback 35 TFSI,Audi,Q3,,,Sportback,,1.5,TFSI,Benzín,,"6,3",488,69,0.33,reálné,2026-06-28,2026-07-11
Audi Q3 45 TFSI e,Audi,Q3,,,SUV,,1.4,TFSI,Benzín,PHEV,"1,6",380,68,0.33,reálné,2026-06-28,2026-07-11
BAIC X3 1.5T 6MT,BAIC,X3,,,SUV,,1.5,,Benzín,,"6,9",390,70,0.33,odhad,2026-05-24,2026-07-11
BAIC X5 1.5T CVT,BAIC,X5,,,SUV,,1.5,,Benzín,,"7,4",410,71,0.33,odhad,2026-05-24,2026-07-11
BAIC Beijing X55 1.5 Turbo 7DCT,BAIC,Beijing X55,,,SUV,,1.5,Turbo,Benzín,,"8,0",380,70,0.33,odhad,2026-05-24,2026-07-11
Bestune T90 1.5T 7DCT,Bestune,T90,,,Sedan,,1.5,,Benzín,,"7,2",540,70,0.27,odhad,2026-06-28,2026-07-11
Bestune T90 1.5T PHEV,Bestune,T90,,,Sedan,,1.5,,Benzín,PHEV,"1,5",490,68,0.27,odhad,2026-06-28,2026-07-11
BMW 118i Hatchback,BMW,118i,,F40,Hatchback,,1.5,,Benzín,,"5,7",380,68,0.26,reálné,2026-06-28,2026-07-11
BMW 218i Active Tourer,BMW,218i,,,MPV,,1.5,,Benzín,,"6,2",470,68,0.26,reálné,2026-06-28,2026-07-11
BMW X1 sDrive18i,BMW,X1,,U11,SUV,,1.5,,Benzín,,"6,3",540,69,0.26,reálné,2026-06-28,2026-07-11
BMW X1 xDrive30e,BMW,X1,,U11,SUV,,1.5,,Benzín,PHEV,"1,0",490,68,0.26,reálné,2026-06-28,2026-07-11
BMW X2 sDrive20i,BMW,X2,,U10,SUV,,2,,Benzín,,"6,0",515,69,0.27,reálné,2026-06-28,2026-07-11
Chery Tiggo 7 Pro 1.5T,Chery,Tiggo,,,SUV,,1.5,,Benzín,,"7,8",475,70,0.33,odhad,2026-06-28,2026-07-11
Chevrolet Equinox 1.5T AWD,Chevrolet,Equinox,,,SUV,,1.5,,Benzín,,"8,4",840,71,0.33,odhad,2026-06-28,2026-07-11
Citroën C4 1.2 PureTech,Citroën,C4,,,Fastback,,1.2,PureTech,Benzín,,"5,4",380,68,0.28,odhad,2026-06-28,2026-07-11
Citroën C5 Aircross 1.2 MHEV,Citroën,C5 Aircross,,,SUV,,1.2,,Benzín,MHEV,"5,7",580,69,0.33,odhad,2026-05-24,2026-07-11
Citroën C5 Aircross Plug-In Hybrid,Citroën,C5 Aircross,,,SUV,,1.6,,Benzín,PHEV,"1,4",460,68,0.33,odhad,2026-05-24,2026-07-11
Citroën C5 X 1.2 PureTech,Citroën,C5,,,Liftback,,1.2,PureTech,Benzín,,"6,0",545,68,0.29,reálné,2026-05-24,2026-07-11
Citroën C5 X Plug-In Hybrid,Citroën,C5,,,Liftback,,1.6,,Benzín,PHEV,"1,3",485,67,0.29,reálné,2026-05-24,2026-07-11
Citroën Grand C4 SpaceTourer 2.0 BlueHDi,Citroën,Grand C4,,,Hatchback,,2.0,BlueHDi,Nafta,,"5,2",645,70,0.3,odhad,2026-05-24,2026-07-11
Cupra Ateca 1.5 TSI,Cupra,Ateca,,,SUV,,1.5,TSI,Benzín,,"6,6",510,70,0.33,reálné,2026-06-28,2026-07-11
Cupra Ateca 2.0 TSI 4Drive,Cupra,Ateca,,,SUV,,2.0,TSI,Benzín,,"8,7",485,72,0.33,reálné,2026-06-28,2026-07-11
Cupra Formentor 1.5 TSI,Cupra,Formentor,,,SUV,,1.5,TSI,Benzín,,"6,4",450,69,0.33,odhad,2026-05-24,2026-07-11
Cupra Formentor 1.4 e-Hybrid,Cupra,Formentor,,,SUV,,1.4,,Benzín,PHEV,"1,4",345,68,0.33,odhad,2026-06-28,2026-07-11
Cupra Leon Hatchback 1.5 TSI,Cupra,Leon,,,Hatchback,,1.5,TSI,Benzín,,"5,6",380,68,0.29,reálné,2026-05-24,2026-07-11
Cupra Leon Sportstourer 1.5 TSI,Cupra,Leon,,,Kombi,,1.5,TSI,Benzín,,"5,8",620,69,0.32,reálné,2026-06-28,2026-07-11
Cupra Leon ST 1.4 e-Hybrid,Cupra,Leon ST,,,Kombi,,1.4,,Benzín,PHEV,"1,3",470,67,0.32,reálné,2026-06-28,2026-07-11
Dacia Duster ECO-G 100 LPG,Dacia,Duster,,Gen 3,SUV,,1,,LPG + benzín,,"7,8",474,69,0.33,odhad,2026-06-28,2026-07-11
Dacia Duster Hybrid 140,Dacia,Duster,,Gen 3,SUV,,1.6,,Benzín,HEV,"4,8",430,68,0.33,odhad,2026-06-28,2026-07-11
Dongfeng Forthing T5 EVO 1.5T,Dongfeng,Forthing T5 EVO,,,SUV,,1.5,,Benzín,,"6,6",480,71,0.33,odhad,2026-05-24,2026-07-11
Dongfeng U-Tour 1.5T Petrol,Dongfeng,U-Tour,,,MPV,,1.5,,Benzín,,"6,6",620,70,0.33,odhad,2026-06-28,2026-07-11
Dongfeng U-Tour 1.5T Hybrid,Dongfeng,U-Tour,,,MPV,7,1.5,,Benzín,HEV,"5,8",620,68,0.33,odhad,2026-06-28,2026-07-11
DR 5 1.5 Bi-Fuel,DR,5,,,SUV,,1.5,,LPG + benzín,,"8,5",340,71,0.33,odhad,2026-06-28,2026-07-11
DS 4 1.2 PureTech,DS,4,,,Hatchback,,1.2,PureTech,Benzín,,"5,9",430,68,0.3,odhad,2026-06-28,2026-07-11
DS 4 E-Tense,DS,4 E-Tense,,,Hatchback,,1.6,,Benzín,PHEV,"1,3",390,67,0.3,odhad,2026-06-28,2026-07-11
DS 7 Crossback 2.0 BlueHDi,DS,7,,,SUV,,2.0,BlueHDi,Nafta,,"5,5",555,69,0.33,odhad,2026-06-28,2026-07-11
DS 7 Crossback E-Tense,DS,7,,,SUV,,1.6,,Benzín,PHEV,"1,5",555,68,0.33,odhad,2026-06-28,2026-07-11
Fiat Talento L1H1 2.0 EcoJet,Fiat,Talento L1H1,,,MPV,,2.0,,Benzín,,"6,5",1000,72,0.33,odhad,2026-06-28,2026-07-11
Ford Focus Hatchback 1.0 EcoBoost,Ford,Focus,,,Hatchback,,1.0,EcoBoost,Benzín,,"5,1",375,68,0.273,reálné,2026-05-24,2026-07-11
Ford Focus Kombi 1.0 EcoBoost,Ford,Focus,,,Kombi,,1.0,EcoBoost,Benzín,,"5,3",608,69,0.3,odhad,2026-05-24,2026-07-11
Ford Focus ST 2.3 EcoBoost,Ford,Focus ST,,,Hatchback,,2.3,EcoBoost,Benzín,,"8,0",375,74,0.273,reálné,2026-06-28,2026-07-11
Ford Kuga 1.5 EcoBoost,Ford,Kuga,,,SUV,,1.5,EcoBoost,Benzín,,"6,6",512,69,0.33,odhad,2026-06-28,2026-07-11
Ford Kuga 2.5 Duratec FHEV,Ford,Kuga,,,SUV,,2.5,,Benzín,HEV,"5,4",475,68,0.33,odhad,2026-06-28,2026-07-11
Ford Kuga 2.5 Duratec PHEV,Ford,Kuga,,,SUV,,2.5,,Benzín,PHEV,"1,0",475,67,0.33,odhad,2026-06-28,2026-07-11
Ford Mondeo Liftback 2.0 EcoBlue,Ford,Mondeo,,,Hatchback,,2.0,EcoBlue,Nafta,,"5,0",550,68,0.27,reálné,2026-05-24,2026-07-11
Ford Mondeo Kombi 2.0 Hybrid,Ford,Mondeo,,,Kombi,,2.0,,Benzín,HEV,"5,6",525,67,0.3,odhad,2026-05-24,2026-07-11
Ford Puma 1.0 EcoBoost MHEV,Ford,Puma,,,SUV,,1.0,EcoBoost,Benzín,MHEV,"5,3",456,69,0.33,odhad,2026-06-28,2026-07-11
Ford S-MAX 2.5 Duratec FHEV,Ford,S-MAX,,,MPV,,2.5,,Benzín,HEV,"6,4",700,69,0.33,odhad,2026-06-28,2026-07-11
Geely Haoyue Pro 1.5T,Geely,Haoyue Pro,,,SUV,7,1.5,,Benzín,,"8,7",150,70,0.33,odhad,2026-06-28,2026-07-11
Honda Civic Hatchback 2.0 e:HEV,Honda,Civic,,Gen 11,Hatchback,,2.0,,Benzín,HEV,"4,7",410,68,0.3,odhad,2026-06-28,2026-07-11
Honda Civic Type R 2.0 VTEC,Honda,Civic Type R,,,Hatchback,,2.0,,Benzín,,"8,2",410,74,0.3,odhad,2026-06-28,2026-07-11
Hyundai i30 Hatchback 1.0 T-GDI,Hyundai,i30,,,Hatchback,,1.0,T-GDI,Benzín,,"5,4",395,68,0.3,reálné,2026-05-24,2026-07-11
Hyundai i30 Kombi 1.5 T-GDI MHEV,Hyundai,i30,,,Kombi,,1.5,T-GDI,Benzín,MHEV,"5,8",602,69,0.3,reálné,2026-05-24,2026-07-11
Hyundai Kona 1.0 T-GDI,Hyundai,Kona,,,SUV,,1.0,T-GDI,Benzín,,"5,8",466,69,0.34,reálné,2026-06-28,2026-07-11
Hyundai Santa Fe 1.6 T-GDI Hybrid,Hyundai,Santa Fe,,Gen 5,SUV,,1.6,T-GDI,Benzín,HEV,"6,9",725,69,0.34,reálné,2026-06-28,2026-07-11
Hyundai Tucson 1.6 T-GDI MHEV,Hyundai,Tucson,,,SUV,,1.6,T-GDI,Benzín,MHEV,"6,5",577,69,0.33,reálné,2026-05-24,2026-07-11
Hyundai Tucson 1.6 T-GDI PHEV,Hyundai,Tucson,,,SUV,,1.6,T-GDI,Benzín,PHEV,"1,4",558,68,0.33,reálné,2026-05-24,2026-07-11
Jaecoo 7 1.6 TGDI AWD,Jaecoo,7,,,SUV,,1.6,TGDI,Benzín,,"8,0",340,70,0.33,odhad,2026-06-28,2026-07-11
Jaecoo 7 1.5 TGDI PHEV,Jaecoo,7,,,SUV,,1.5,TGDI,Benzín,PHEV,"1,2",584,68,0.33,odhad,2026-05-24,2026-07-11
Jaguar E-Pace P200 MHEV,Jaguar,E-Pace P200,,,SUV,,2,,Benzín,MHEV,"8,0",494,70,0.34,reálné,2026-05-24,2026-07-11
Jaguar E-Pace P300e PHEV,Jaguar,E-Pace P300e,,,SUV,,1.5,,Benzín,PHEV,"2,0",405,69,0.34,reálné,2026-05-24,2026-07-11
Jeep Compass 1.5 MHEV,Jeep,Compass,,,SUV,,1.5,,Benzín,MHEV,"5,6",438,70,0.33,odhad,2026-05-24,2026-07-11
Jeep Compass 1.3 PHEV 4xe,Jeep,Compass,,,SUV,,1.3,,Benzín,PHEV,"1,9",420,69,0.33,odhad,2026-06-28,2026-07-11
Jeep Renegade 1.5 MHEV,Jeep,Renegade,,,SUV,,1.5,,Benzín,MHEV,"5,7",351,71,0.35,reálné,2026-05-24,2026-07-11
KGM Korando 1.5 GDI-T 2WD,KGM,Korando,,,SUV,,1.5,GDI,Benzín,,"7,5",551,85,0.33,odhad,2026-05-24,2026-07-11
KGM Tivoli 1.5 GDI-T,KGM,Tivoli,,,SUV,,1.5,GDI,Benzín,,"7,0",427,70,0.33,odhad,2026-06-28,2026-07-11
KGM Torres 1.5 GDI-T 2WD,KGM,Torres,,,SUV,,1.5,GDI,Benzín,,"8,5",703,71,0.33,odhad,2026-06-28,2026-07-11
Kia Ceed Hatchback 1.5 T-GDI,Kia,Ceed,,,Hatchback,,1.5,T-GDI,Benzín,,"5,5",395,68,0.3,reálné,2026-05-24,2026-07-11
Kia Ceed SW 1.5 T-GDI,Kia,Ceed,,,Kombi,,1.5,T-GDI,Benzín,,"5,7",625,69,0.3,reálné,2026-06-28,2026-07-11
Kia Ceed SW 1.6 GDI PHEV,Kia,Ceed,,,Kombi,,1.6,GDI,Benzín,PHEV,"1,3",437,67,0.3,reálné,2026-05-24,2026-07-11
