Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Extra,Stav,Zdroj
Spalovací,Škoda Karoq 2.0 TDI,352000,235235,2019,Nafta,2.0,TDI,,110,Automat,Ano,,"ALU 18""",Ano,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Audi A4 Avant 35 TFSI (Kombi),568000,41941,2022,Benzín,2.0,TSI,,110,Automat,Ano,,,Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,443000,147337,2021,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 18'',Ano,,Style,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Mercedes-Benz C 220d,852000,53155,2023,Nafta,,,,195,Automat,,,,Ne,,AVANTGARDE,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Mercedes-Benz C 220d,735000,42158,2022,Nafta,,,,147,Automat,,,,Ano,,AVANTGARDE,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Porsche 911 Targa 4S 3.0 Turbo,3362000,58801,2021,Benzín,3.0,Turbo,,331,Manual,,,,Ano,,,,,Ano,+ 7st. manuální převodovka Porsche Ceramic Composite Brake Sport-Chrono paket,Dostupný,Autodraft.cz
Spalovací,Mercedes-Benz GLB 200 (5místná verze),912000,15039,2024,Nafta,,,,110,Automat,,,ALU 18'',Ano,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Arteon Shooting Brake 2.0 TDI,394000,152047,2017,Nafta,2.0,TDI,,176,Automat,Ano,,ALU 18'',Ano,,Elegance,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,448000,103235,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Variant,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,527000,88886,2023,Nafta,2.0,TDI,,85,Automat,Ano,,ALU 17'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,429000,160801,2023,Nafta,2.0,TDI,,85,Automat,Ano,,ALU 17'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Audi A8 60 Bi- 4.0 TFSI,1395000,95542,2022,Benzín,4.0,TFSI,,338,Automat,,,ALU 20'',Ano,,S-Line,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,"Škoda Kodiaq iV (Gen 2, PHEV)",876000,57833,2023,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 19'',Ano,,Laurin & Klement,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),497000,136130,2022,Nafta,2.0,TDI,,147,Automat,Ano,,2x sada ALU 17'',Ano,Variant,Alltrack,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,424000,165536,2023,Nafta,2.0,TDI,,85,Automat,Ano,,ALU 17'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,449000,118926,2023,Nafta,2.0,TDI,,85,Automat,Ano,,ALU 17'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 1.5 TSI (Gen 8),549000,24070,2025,Benzín,1.5,TSI,,85,Manual,,,ALU 16'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,457000,130744,2023,Nafta,2.0,TDI,,85,Manual,,,ALU 17'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,386000,188678,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Variant,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),457000,83944,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),368000,179879,2021,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Variant,Life,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,prodané Škoda Karoq 2.0 TDI,449000,170463,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 18'' prodané,Ano,,Style,Ano,,Ne,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),409000,129600,2021,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Variant,Life,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Variant 1.5 eTSI (Gen 8),458000,139528,2023,Benzín,1.5,TSI,,110,,,,ALU 18'',Ne,Variant,Highline,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,398000,169394,2020,Nafta,2.0,TDI,,110,Automat,Ano,,,Ne,Variant,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,597000,118854,2021,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 19'',Ano,,Sportline,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,508000,166802,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 17'',Ne,Combi,Style,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),399000,162870,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16'',Ne,Variant,,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,626000,90413,2022,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 18''+ ALU 16'',Ne,Variant,Elegance,,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Octavia Combi iV (PHEV),547000,161327,2022,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 19'',Ne,Combi,,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Variant 1.5 eTSI (Gen 8),262000,210939,2021,Benzín,1.5,TSI,,110,Automat,Ano,,ALU 17'',Ne,Variant,Highline,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),495000,87717,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 17''+ zimní sada,Ne,Variant,Style,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,587000,166022,2022,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 19'',Ne,Combi,Sportline,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Tiguan Life 1.5 TSI (Gen 2),567000,79421,2022,Benzín,1.5,TSI,,110,Automat,Ano,,,Ne,,Life,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Passat B8 Variant Elegance 2.0 TDI,446000,119673,2020,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 17'',Ne,Variant,Elegance,,,Ano,,Dostupný,Autodraft.cz
Spalovací,zálohované Volkswagen Golf 8 1.5 TSI,596000,8102,2025,Benzín,1.5,TSI,,110,Manual,,,,Ne,,,Ano,,Ne,zálohované,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,459000,188269,2022,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 17'',Ne,Combi,Style,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Golf Hatchback 2.0 TDI (Gen 8),396000,162993,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 17''+ zimní sada,Ne,,Style,Ano,,Ano,,Dostupný,Autodraft.cz
Spalovací,Škoda Superb 3 Combi Style 2.0 TDI,596000,100728,2023,Nafta,2.0,TDI,,147,Automat,Ano,,ALU 18'',Ne,Combi,Style,,,Ano,,Dostupný,Autodraft.cz
Spalovací,VW Touran 1.5 TSI (5místná verze),496000,152205,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 16''+ zimní sada,Ne,,,,,Ano,,Dostupný,Autodraft.cz
Elektrické,Škoda Enyaq iV 50,631000,16337,2023,Elektro,,,,109,,,,ALU 18'',Ne,,,,Ne,,,Dostupný,Autodraft.cz
Spalovací,Škoda Karoq 2.0 TDI,549000,125849,2022,Nafta,2.0,TDI,,110,Automat,Ano,,ALU 18''+ ALU 17'',Ano,,Style,Ano,,Ano,,Dostupný,Autodraft.cz
