Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Zdroj,Odkaz na auto
Elektrické,Audi Q4 e-tron,709900,80622,2021,Elektro,,,,150,,,,"20""",Ne,,,,Ne,,,Dojezd 523 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/audi-q4-e-tron/
Elektrické,BMW i3,389900,55416,2017,Elektro,,,,125,,,,"19""",Ne,,,,Ano,,,Dojezd 250 km / Baterie 32 kWh,Odstraněno,EnergyCars.cz,https://www.energycars.cz/vuz/bmw-i3-2/
Elektrické,BMW i3,499900,65403,2019,Elektro,,,,135,,,,"20""",Ne,,,,Ano,,,Dojezd 359 km / Baterie 42 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/bmw-i3/
Elektrické,BMW iX,1099900,25518,2022,Elektro,,,,240,,,,"21""",Ano,,,,Ano,,,Dojezd 425 km / Baterie 76 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/bmw-ix/
Elektrické,BYD Seal,1049900,44796,2024,Elektro,,,,390,,,,"19""",Ano,,,,Ne,,,Dojezd 520 km / Baterie 84 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/byd-seal/
Elektrické,Fiat 500 e,449900,20637,2023,Elektro,,,,87,,,,"16""",Ne,,,,Ne,,,Dojezd 333 km,Odstraněno,EnergyCars.cz,https://www.energycars.cz/vuz/fiat-500-e/
Elektrické,Honda e,449900,27026,2021,Elektro,,,,113,,,,"17""",Ne,,,,Ne,,,Dojezd 222 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/honda-e/
Elektrické,JAC iEV7S,359900,53669,2020,Elektro,,,,85,,,,,Ne,,,,Ne,,,"Dojezd 300 km / Baterie 43,50 kWh",Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/jac-iev7s/
Elektrické,Kia EV3,939900,1101,2025,Elektro,,,,150,,,,"17""",Ne,,,,Ne,,,Dojezd 605 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/kia-ev3/
Elektrické,Kia Niro,649900,93621,2023,Elektro,,,,150,,,,"17""",Ne,,,,Ne,,,Dojezd 463 km / Baterie 64 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/kia-niro/
Elektrické,Mercedes-Benz EQA,699900,49576,2022,Elektro,,,,140,,,,,Ne,,,,Ne,,,Dojezd 486 km / Baterie 69 kWh,Odstraněno,EnergyCars.cz,https://www.energycars.cz/vuz/mercedes-benz-eqa/
Elektrické,Mercedes-Benz EQE,1149900,37036,2022,Elektro,,,,215,,,,,Ne,,,,Ano,,,Dojezd 693 km / Baterie 105 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/mercedes-benz-eqe/
Elektrické,MINI Cooper SE,749900,4254,2024,Elektro,,,,,,,,,Ne,,,,Ne,,,Dojezd 305 km / Baterie 40 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/mini-cooper-se/
Elektrické,MINI Cooper,529900,40763,2022,Elektro,,,,135,,,,"17""",Ne,,,,Ano,,,Dojezd 234 km,Odstraněno,EnergyCars.cz,https://www.energycars.cz/vuz/mini-cooper/
