Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Země,Zdroj,Odkaz na auto
Spalovací,Alfa Romeo Junior 1.2 Turbo,666824,12641,2025,Benzín,1.2,,MHEV,100,Automatická,,,,Ne,SUV,,,,Ano,5,Wien,,Rakousko,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-1-2-mhev-wien/457242849.html
Elektrické,Alfa Romeo Junior,599794,18568,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Butzbach / Baterie 54 kWh / -e 54 kWh LED/CARPLAY/KAMERA/ACC/18,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-e-54-kwh-led-carplay-kamera-acc-18-butzbach/455375253.html
Elektrické,Alfa Romeo Junior,604633,12813,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Butzbach / Baterie 54 kWh / -e 54 kWh LED/CARPLAY/KAMERA/ACC/18,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-e-54-kwh-led-carplay-kamera-acc-18-butzbach/455925801.html
Elektrické,Alfa Romeo Junior,604633,11179,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Butzbach / Baterie 54 kWh / -e 54 kWh LED/CARPLAY/KAMERA/ACC/18,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-e-54-kwh-led-carplay-kamera-acc-18-butzbach/455925813.html
Elektrické,Alfa Romeo Junior,604633,15214,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Butzbach / Baterie 54 kWh / -e 54 kWh LED/CARPLAY/KAMERA/ACC/18,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-e-54-kwh-led-carplay-kamera-acc-18-butzbach/459054115.html
Elektrické,Alfa Romeo Junior,599794,16718,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,Butzbach / Baterie 54 kWh / -e 54 kWh LED/CARPLAY/KAMERA/ACC/18,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-e-54-kwh-led-carplay-kamera-acc-18-butzbach/459054479.html
Elektrické,Alfa Romeo Junior,747142,14470,2024,Elektro,,,,115,,,,,Ne,SUV,,,,,,Düren / Electric 0.0 Speciale Sport 54kWh Navi 18,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-electric-0-0-speciale-sport-54kwh-navi-18-d%C3%BCren/459122314.html
Elektrické,Alfa Romeo Junior,652781,12980,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,"Flensburg / Baterie 54 kWh / Elettrica 115 kW *Klima* Inklusive 2500,-",,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-klima-inklusive-2500-flensburg/459095587.html
Elektrické,Alfa Romeo Junior,723189,10500,2024,Elektro,,,,115,,,,,Ne,SUV,,,,,,Köln / Baterie 54 kWh / Elettrica 115 kW Speciale Elettrica-SPECI,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-speciale-elettrica-speci-k%C3%B6ln/405084014.html
Elektrické,Alfa Romeo Junior,723189,5,2025,Elektro,,,,115,,,,,Ne,SUV,,,,,,München / Baterie 54 kWh / Elettrica 115 kW Speciale,,Německo,Mobile.de,https://suchen.mobile.de/auto-inserat/alfa-romeo-junior-elettrica-115-kw-speciale-m%C3%BCnchen/453635781.html
