Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Zdroj,Odkaz na auto
Spalovací,"BMW X1 xDrive30e (PHEV, U11)",579999,62335,2022,Nafta,2.0,,PHEV,110,Automatická,,,,Ano,SUV,,,,Ano,,18d AT CZ,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/bmw/x1/210523859
Spalovací,Cupra Formentor 1.5 TSI,719900,19600,2023,Benzín,2.0,TSI,,140,Automatická,Ano,,,Ano,SUV,,,,Ano,,Nehavar.Tov.Zá,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/cupra/formentor/210077156
Spalovací,Cupra Formentor 1.5 TSI,697700,49674,2024,Benzín,2.0,TSI,,140,Automatická,Ano,,,Ano,SUV,,,,Ano,,Nehavar.Tov.Zá,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/cupra/formentor/210538556
Spalovací,Ford Kuga 1.5 EcoBoost (Benzín),500000,45150,2022,Benzín,1.5,EcoBoost,,110,Manuální,,,,Ne,SUV,ST-Line,,,Ano,,,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/ford/kuga/209971590
Spalovací,Hyundai i30 Kombi 1.5 T-GDI MHEV,380000,45167,2021,Benzín,1.5,T-GDI,MHEV,117,Manuální,,,,Ne,Kombi,,,,Ano,,"ČR,1.maj",Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/hyundai/i30/210134321
Spalovací,Hyundai Tucson 1.6 T-GDI MHEV,579990,44037,2021,Benzín,1.6,,,132,Automatická,,,,Ano,SUV,,,,Ano,,SMART NAV HEV,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/hyundai/tucson/209679834
Spalovací,MG HS 1.5 T-GDI (Zážehový motor),460000,14447,2024,Benzín,1.5,,,119,Manuální,,,,Ne,SUV,,,,Ano,,"TGI, Serv.kniha, Kůže",Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/mg/hs/209990430
Elektrické,Opel Mokka,450000,20649,2022,Elektro,,,,100,,,,,Ne,SUV,,,Ano,,,"Dojezd 324 km / Baterie 50 kWh / Electric 50 kWh, SoH 93%",Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/opel/mokka/210389552
Spalovací,Škoda Karoq 1.5 TSI,498000,96155,2021,Benzín,1.5,TSI,,110,Automatická,Ano,,,Ne,SUV,Sportline,,,Ano,,,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/skoda/karoq/210222056
Spalovací,Škoda Octavia Liftback 1.5 TSI,619900,28874,2025,Benzín,1.5,eTSI,,110,Automatická,Ano,,,Ne,Liftback,Top Selection,,,Ano,,ČR,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/skoda/octavia/210503216
Spalovací,Abarth T5 EVO EV 1.5,555910,32000,2024,Benzín,1.5,,,130,Automatická,,,,Ne,Kombi,,,,Ano,,,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/abarth/ostatni/210365261
Spalovací,Alfa Romeo Giulia 2.2 JTDM (Diesel),599000,94200,2021,Nafta,2.1,,,118,Automatická,,,,Ne,Sedan/limuzína,,,,Ano,,SUPER 22 DIESEL,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/alfa-romeo/giulia/208028420
Spalovací,Alfa Romeo Junior 1.2,746000,5,2026,Benzín,1.2,,,100,Automatická,,,,Ne,Hatchback,,,,Ano,,T 136k Speciale,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/alfa-romeo/junior/209800182
